UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Is_Promoted
Mexican for Trump,@elrealhomz,2020-01-02T17:55:50.000Z,"@Tesla
 I have been trying to set an appointment for service, I have problem with the app, on my phone and wife’s phone see below. Who do I talk to regarding this, I just bought the car so I’m new to service calls. I’m use to BMW great customer service they have a number to call.",,5,4,6,,False
CarolinaHawk,@HawkinsRandy,2020-01-02T15:26:27.000Z,"@Tesla
 received over $700 million in Q 3 2018 subsidies. They are building a new plant in Shanghai. Not subject to import tax, each car gets a $3600 subsidy when purchased. All thanks to Obama. Can you stop this waste 
@realDonaldTrump
 ? #KAG2020 
@elonmusk",,,,,,False
HNDRX,@itzhndrx,2020-01-02T11:18:27.000Z,"@Tesla
 @elonmusk
 Can you take my Toyota? I think I want a new car ",😭,,,,,False
Alpesh Vaghela,@alpesh410,2020-01-02T02:10:12.000Z,"@Tesla
 concerned that delivery support person switched my referral codes with their own for a recently delivered car - Ethics issue 
@elonmusk",,,,,,False
Viet,@DrExcaliburr43,2020-01-03T21:45:53.000Z,"@Tesla
  cmon I paid $2000 for FSD- HW3 never installed!, insurance totalled my car and now someone bought the totalled car and now has $2000 FSD I paid for, I want my $2000 credit at least towards purchasing $7000  FSD for my new Model 3. GIVE ME THAT CREDIT AT LEAST!!",,,2,,,False
Viet,@DrExcaliburr43,2020-01-03T21:41:19.000Z,"@Tesla
 cmon I paid $2000 for FSD- HW3 never installed!, insurance totalled my car and now someone bought the totalled car and now has $2000 FSD I paid for, I want my $2000 credit at least towards purchasing $7000  FSD for my new Model 3. GIVE ME THAT CREDIT AT LEAST!!",,,,,,False
Music By Lily,@SongsbyLily,2020-01-03T20:54:09.000Z,"@Tesla
 @elonmusk
 my love for you is restored. You fixed my car without it having to leave my garage. New technology is scary when it breaks in weird and unfamiliar ways but your team were great. Thank you!",,,2,,,False
rajivdewan,@rajivdewan,2020-01-03T18:09:24.000Z,"@Tesla
 @elonmusk
 you know what you need to do is allow us to connect the car to a cloud service like Google drive when on WiFi, and allow us to use the app to transfer video to the cloud from the car to look at clips. Rather than sneakernet.",,,,,,False
Andy.Boylett,@ABoylett,2020-01-03T12:07:23.000Z,"@Tesla
 Is there any reason small wind turbines could not be fitted in place of a grill to recharge batteries while the car is in motion - same effect as regen braking? Increasing vehicle range.",,,,,,False
Patricio,@Patrici67696193,2020-01-03T03:50:53.000Z,"@Tesla
 Tesla is the car of the future everybody",,,,,,False
Bradley Snedeker,@BradleySnedeker,2020-01-03T02:48:14.000Z,"Replying to 
@TeslaPresent your awesome car every day 24/7 at your Tesla Carsino Resort Spa.The tunnel should terminate at your front door. motorhwy@gmail.com
We should about the biggest automotive event on Las Vegas Blvd",,,,,,False
Kartik Gupta,@KartikGuptaa,2020-01-03T02:46:25.000Z,"@Tesla
 @elonmusk
 after the recent 40.50.1 release, every time I exit before the car gets locked automatically it makes a call to the last dialed contact. Known bug? #tesla #bug",,1,3,2,,False
Ralph Martin,@raffymartin,2020-01-03T01:53:59.000Z,"@Tesla
 I have been waiting patiently for a refund of over 2K you owe me since 9/11 that I took delivery of the car. Customer service needs to improve.",,3,3,4,,False
The Undertrader,@Undertrader,2020-01-04T19:32:09.000Z,"@Tesla
 it’s really irritating when you look on the car and it says 3 chargers are open and you get there and there’s a huge line because 3 of the chargers aren’t open, they are broken. This process needs to be better.",,7,8,14,,False
Romy Saget,@rommeister,2020-01-04T18:35:51.000Z,"@Tesla
 @elonmusk
 Members of my family have access to my Model3 via the iPhone app, I dont want to be tracked all the time, is there a way to disable tracking of my car by specific profiles? .... asking for a friend!@Model3Owners",,,1,1,,False
Chef Vishal Kripalani,@ChefVishalK,2020-01-04T18:04:07.000Z,"Replying to 
@TeslaWhen can we see Tesla car in India?",,,,,,False
Michael Hodges,@InSpaceXItrust,2020-01-04T17:33:18.000Z,"@Tesla
 pre-FSD visualization. Don’t believe any other car owners get excited about seeing stop signs and road markings, because they can’t! 
@elonmusk
 #Tesla #TSLA",,,,4,,False
Robvred,@robvred,2020-01-04T15:56:19.000Z,"@Tesla
 Thanks ! my new car is on the way ",🍫 🥳,,,,,False
Robert Goulding,@rmgoulding,2020-01-04T12:18:44.000Z,"@Tesla
 3 months and I still haven't received my tesla deposit refund! You don't answer emails, you fob me off with excuses and no longer answer phone calls. Why would anyone trust tesla with their car?!",,,,,,False
DUBAI BRO,@DubaiBro,2020-01-04T05:24:19.000Z,"Replying to 
@TeslaHi 
@Tesla
 ! How about adding #ROAR to your cars with addon #Ferrari #Bugatti or #Lamborghini effects, which cost 999$ in AppStore. You just add noise and vibrations these car does while driving. +50% more profit just by adding this feature. Interested? DM me",,,,1,,False
Myron Stelmaschuk,@freedoctor68,2020-01-04T04:00:11.000Z,"@Tesla
 Wow got charged for  Full Self Driving  without my authorization.  Tesla had the chance to reverse this as my car was in the Tesla Shop at the time.    A Pyrrhic  victory on each side as I canceled all my future Tesla orders and will sell this car!",,,,,,False
Topher,@Topher2007,2020-01-04T02:25:44.000Z,"@Tesla
  @elonmusk
 You’re amazing car saved my fiancés life today. Thank you for making the safest car in the world.",,,,1,,False
Topher,@Topher2007,2020-01-04T00:02:14.000Z,"@Tesla
 @elonmusk
 Thanks you for making the safest car on the road. You guys possibly saved a life today. The car might be totaled but the cargo is the most important thing and 
@BuccoBri18
 is ok. #ThankYou",,,,1,,False
